item_code,price_count
22069,7
20028,6
21183,136
20448,48
21565,7
20606,61
20323,62
21350,38
20657,169
20457,100
21052,20
22046,317
20518,24
20020,115
20459,137
20797,129
21745,26
20844,77
20354,22
20717,308
21499,19
22035,249
21347,56
20008,115
21644,203
21271,385
21003,201
21912,23
21295,34
20591,80
20977,80
21379,211
21742,40
20140,113
21985,16
21121,26
21920,137
21017,56
21578,14
20285,32
21789,27
20586,107
21739,55
20571,24
20656,101
21297,111
22041,71
21604,8
21239,19
20230,160
21601,234
20498,28
20260,32
20279,50
21533,75
22047,111
20973,394
20607,20
21907,18
20996,356
20483,157
21619,469
21562,116
20189,101
21542,32
20817,36
21610,40
20502,57
21484,104
20662,98
20082,61
20713,32
21987,22
21518,44
20702,47
21703,142
21965,62
20481,51
20283,238
20092,78
21869,37
20271,52
21402,20
21469,37
21819,169
21395,19
21258,21
20765,19
20122,27
20043,20
20541,19
21327,23
21790,19
20916,190
21381,80
21455,50
20859,74
21579,84
21412,49
21744,100
20608,37
20514,25
21279,59
21825,25
21362,22
20070,19
20855,22
21371,86
20964,23
20338,28
20584,122
20576,60
22082,38
20695,25
21830,24
21246,16
21315,11
21277,24
20877,249
21061,295
20085,183
20003,235
21986,251
21566,63
20508,10
21384,59
20535,20
21226,10
20340,38
20867,11
21801,160
21541,17
21019,40
21787,74
21864,97
21072,28
22021,132
21475,28
21588,60
21519,19
20594,17
20810,220
20988,86
20622,6
21858,21
20912,31
20226,221
21695,16
20322,19
21301,15
20895,40
20712,136
20247,18
21613,32
21778,20
21057,116
21690,177
21442,37
20785,27
20174,73
20645,21
20007,24
21957,120
20680,20
20413,277
20205,40
20265,129
22080,171
20458,53
21656,145
21937,144
20900,235
20944,184
21550,178
20064,15
20009,65
20560,190
20116,170
21122,47
20550,19
21413,20
20201,69
21254,46
20437,64
21028,74
20889,38
20620,46
20026,27
20663,21
21162,37
20031,31
21659,47
21993,16
20780,62
20096,24
21483,40
21658,48
20414,298
20050,22
21664,60
20898,7
21517,40
21929,83
21913,208
20639,17
21053,178
20637,28
21861,43
21373,289
21026,289
20302,19
20194,19
21461,75
20374,38
21857,73
21177,69
20774,52
21654,34
21179,54
20911,149
20908,48
20850,24
21554,26
21657,158
21972,19
21616,15
20826,45
21583,158
21001,163
20200,49
20351,74
22031,19
20342,64
21982,76
20415,94
21049,115
22040,147
20986,62
21731,262
22017,54
20511,18
20595,2
21267,3
21836,115
20763,213
20512,212
21921,61
21716,126
20778,57
20650,229
21181,9
20233,8
20783,1
22062,12
21274,144
20694,71
21511,20
20845,38
21846,68
20277,17
20857,8
21989,22
20760,23
21906,17
21774,26
20487,31
20445,141
21555,147
20327,73
22068,32
21949,13
21370,42
21627,18
20402,85
21600,25
21645,4
21283,24
22001,25
20598,17
20589,38
21113,27
20208,91
20416,112
20710,21
20975,20
20862,211
21088,175
20408,110
21024,37
21692,19
20139,256
21764,42
21382,43
20362,2
21804,62
21187,7
21422,46
22073,2
21296,133
21881,269
21473,7
20110,12
21006,8
21099,29
21081,188
20756,35
21934,16
20883,3
21353,3
20556,16
21231,19
21520,4
20646,2
21020,23
21746,12
20392,93
20378,19
21302,18
21234,23
21918,15
21470,87
20989,18
21409,148
21112,16
20671,16
20644,13
21941,17
20672,36
21594,63
21293,19
20363,27
21539,21
20732,22
21976,12
21805,17
21831,7
20333,74
21326,143
20423,6
22074,13
20431,25
20726,20
21598,79
21104,6
21233,84
20372,8
21952,11
20800,79
20019,9
20864,37
20815,23
20579,21
21387,35
21273,9
20202,20
22050,140
21636,143
20013,37
21971,50
20006,189
22055,68
20807,12
21673,11
20547,48
21378,7
21375,16
20758,13
20970,29
22070,39
20072,16
21446,239
21766,35
20441,16
20493,4
20520,25
20219,88
20065,18
20949,84
21306,52
21888,29
20365,28
21244,20
21108,19
21089,65
21343,6
20634,8
21524,176
20670,17
21419,3
20367,88
21717,3
21689,5
20573,79
20326,1
21838,26
20521,38
20642,32
20410,85
21345,5
20180,6
20544,95
21372,14
21587,83
20316,167
21643,7
20686,12
21549,118
20681,3
20950,3
21078,5
20874,3
20923,38
21959,44
21042,61
20830,162
21401,4
20928,4
20266,8
20433,236
21999,1
20669,2
20411,2
22003,3
